Folk,This Land Is Your Land,Woody Guthrie
Folk,Mr. Tambourine Man,Bob Dylan  1965
Folk,Where Have All the Flowers Gone,The Kingston Trio  1962
Folk,Goodnight Irene,The Weavers  1957
Folk,Suzanne,Leonard Cohen  1967
Folk,Tom Dooley,The Kingston Trio  1958
Folk,Changes,Phil Ochs
Folk,Like a Rolling Stone,Bob Dylan  1965
Folk,Puff,Peter, Paul and Mary  1963
Folk,Both Sides Now,Joni Mitchell  1969
Folk,Matty Groves,Fairport Convention  1969
Folk,The Universal Soldier,Buffy Sainte-Marie  1964
Folk,We Shall Overcome,Pete Seeger
Folk,The Night They Drove Old Dixie Down,The Band  1969
Folk,The Wreck of the Edmund Fitzgerald,Gordon Lightfoot  1976
Folk,Pancho & Lefty,Townes Van Zandt  1972
Folk,Catch the Wind,Donovan  1965
Folk,The Circle Game,L.A. Express  1970
Folk,Eve of Destruction,Barry McGuire  1965
Folk,Man Of Constant Sorrow,Bob Dylan  1962
Classical,Peer Gynt Suite No. 1, Op. 46: Morning Mood,Edvard Grieg
Classical,Symphony No. 5 In C Minor, Op. 67, Fate: I. Allegro Con Brio,Ludwig van Beethoven
Classical,The Four Seasons, Op. 8, Spring: Allegro,Antonio Vivaldi
Classical,Adagio for Strings,Samuel Barber
Classical,The Valkyrie: Ride of the Valkyries,Richard Wagner
Classical,Nocturne No. 2 In E-Flat Major, Op. 9,Frederic Chopin
Classical,Canon in D major,Johann Pachelbel
Classical,Carmina Burana: O Fortuna,Carl Orff
Classical,Orchestral Suite No. 3 in D major, BWV 1068: Air,Johann Sebastian Bach
Classical,The Planets, Op. 32: Jupiter, the Bringer of Jollity,Gustav Holst
Classical,Suite bergamasque, L 75: Clair de Lune,Claude Debussy
Classical,Nabucco: Chorus of the Hebrew Slaves (Va', Pensiero, Sull'ali Dorate),Giuseppe Verdi
Classical,Piano Concerto No. 21 in C major, K. 467: II. Andante,Wolfgang Amadeus Mozart
Classical,Brandenburg Concerto No. 3 in G major, BWV 1048: Allegro,Johann Sebastian Bach
Classical,Thais: Meditation,Jules Massenet
Classical,Symphony No. 9 In E Minor, Op. 95, From the New World: II. Largo,Antonin Dvorak
Classical,On the Beautiful Blue Danube, Op. 314,Johann Strauss II
Classical,Hungarian Dance No. 5 In G Minor,Johannes Brahms
Classical,Swan Lake Suite, Op. 20: Scene,Pyotr Ilyich Tchaikovsky
Classical,Gymnopdie No. 1,Erik Satie
Country,Stand By Your Man,Tammy Wynette  1969
Country,He Stopped Loving Her Today,George Jones  1980
Country,The Devil Went Down to Georgia,Charlie Daniels  2000
Country,Friends in Low Places,Garth Brooks  1990
Country,Amazed,Lonestar  1999
Country,Mammas Don't Let Your Babies Grow Up to Be Cowboys,Willie Nelson  1978
Country,Hello Darlin,Conway Twitty
Country,The Gambler,Kenny Rogers  1979
Country,Ring of Fire,Johnny Cash  1963
Country,I Hope You Dance,Lee Ann Womack  2000
Country,Before He Cheats,Carrie Underwood  2005
Country,Folsom Prison Blues,Johnny Cash
Country,I'm So Lonesome I Could Cry,Hank Williams
Country,I Walk the Line,Johnny Cash
Country,Always On My Mind,Willie Nelson  1982
Country,Mama Tried,Merle Haggard  1968
Country,I Will Always Love You,Dolly Parton  1974
Country,El Paso,Marty Robbins
Country,Live Like You Were Dying,Tim Mcgraw  2004
Country,The Dance,Garth Brooks  1989
Country,King of the Road,Roger Miller  1965
Jazz,Round Midnight,Thelonious Monk & Gerry Mulligan  1957
Jazz,So Waht,Miles Davis
Jazz,Take Five,Dave Brubeck
Jazz,All Blues,Miles Davis
Jazz,Autumn Leaves,Miles Davis
Jazz,Take the A Train,Dave Brubeck
Jazz,My Funny Valentine,Chet Baker
Jazz,What Is This Thing Called Love?,Charles Mingus
Jazz,Giant Steps: Naima,John Coltrane
Jazz,Satin Doll,Teresa Brewer
Jazz,Sing, Sing, Sing,Bennie Goodman
Jazz,Goodbye, Pork Pie Hat,Charles Mingus
Jazz,The Girl From Ipanema,Joao Gilberto
Jazz,In a Sentimental Mood,Duke Ellington
Jazz,I Can't Get Started,Paul Bley  1953
Jazz,Song for My Father,Horace Silver
Jazz,Sophisticated Lady,Duke Ellington
Jazz,Georgia on My Mind,Ray Charles  2003
Jazz,God Bless the Child,Billie Holiday & her Orchestra  2001
Jazz,Mood Indigo,Coleman Hawkins
Jazz,Fly Me to the Moon,Frank Sinatra
Jazz,Stolen Moments,Oliver Nelson  1961
Jazz,Misty,Erroll Garner
Jazz,Scapple Form the Apple,Miles Davis
